



,,,[80],,,[70],,,[60],,,[50],,,[40],,,[30]

,[133],,19,26,,12,17,,9,14,,5,9,,6,9,,4,6

,[134],,16,24,,14,21,,10,17,,9,15,,9,13,,4,9

,[135],,12,20,,6,12,,5,11,,4,9,,4,9,,4,8

,[136],,16,22,,13,19,,12,14,,10,11,,9,11,,8,9

,[137],,99,99,,99,99,,18,18,,99,99,,13,16,,12,12

,[138],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[139],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[140],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[141],,23,26,,13,19,,8,16,,7,14,,7,13,,6,11

,[142],,17,18,,13,13,,99,99,,99,99,,99,99,,99,99

,[143],,15,16,,13,14,,11,12,,11,12,,7,9,,6,6

,[144],,16,18,,10,13,,9,12,,9,11,,8,9,,4,4

,[145],,18,21,,16,18,,13,15,,12,13,,13,13,,8,9

,[146],,16,29,,14,27,,11,25,,8,21,,6,19,,3,14

,[147],,17,18,,14,15,,12,13,,99,99,,99,99,,99,99

,[148],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[149],,16,25,,14,24,,10,20,,11,20,,7,13,,5,9

,[150],,26,28,,20,22,,11,17,,10,17,,11,17,,7,14

,[151],,16,20,,12,15,,7,10,,7,10,,7,10,,6,7

,[152],,20,27,,11,17,,10,15,,6,12,,5,10,,4,6

,[153],,17,29,,12,20,,8,15,,7,13,,4,10,,2,7

,[154],,17,21,,11,15,,7,12,,7,11,,7,9,,5,7

,[155],,21,25,,13,20,,10,15,,8,11,,7,10,,6,7

,[156],,99,99,,99,99,,12,14,,9,11,,6,8,,6,7

,[157],,99,99,,15,15,,99,99,,99,99,,9,10,,7,7

,[158],,99,99,,21,22,,15,19,,15,19,,10,18,,9,16

,[159],,23,26,,20,22,,13,18,,12,14,,9,12,,8,10

,[160],,19,31,,14,25,,12,22,,8,15,,8,15,,8,13

,[161],,99,99,,99,99,,8,13,,6,10,,6,10,,6,9

,[162],,17,28,,9,23,,6,18,,5,18,,5,16,,3,13

,[163],,18,19,,17,17,,99,99,,99,99,,99,99,,8,9

,[164],,23,23,,18,20,,11,16,,6,14,,5,12,,3,9

,[165],,20,24,,16,19,,12,17,,12,13,,12,12,,5,6

,[166],,20,29,,11,23,,7,17,,5,13,,4,8,,3,5

,[167],,99,99,,19,20,,6,14,,4,10,,4,9,,3,5

,[168],,12,18,,9,15,,8,12,,7,9,,7,9,,6,7

,[169],,18,20,,15,19,,13,19,,13,17,,11,16,,4,11

