
[227] : 19.734375,  19.734375  (0.000000)
[228] : 10.953125,  10.953125  (0.000000)
[229] : 12.859375,  12.859375  (0.000000)
[230] : 13.171875,  9.500000  (-3.671875)
[231] : 7.875000,  7.937500  (0.062500)
[232] : 10.750000,  10.750000  (0.000000)
[233] : 13.343750,  9.093750  (-4.250000)
[234] : 11.828125,  11.828125  (0.000000)
[235] : 6.687500,  6.796875  (0.109375)
[236] : 18.468750,  18.468750  (0.000000)
[237] : 17.484375,  16.531250  (-0.953125)
[238] : 10.921875,  10.343750  (-0.578125)
[239] : 7.750000,  7.750000  (0.000000)
[240] : 12.421875,  12.421875  (0.000000)
[241] : 13.562500,  11.140625  (-2.421875)
[242] : 10.968750,  10.968750  (0.000000)
[243] : 11.453125,  11.343750  (-0.109375)
[244] : 11.156250,  11.156250  (0.000000)
[245] : 14.484375,  14.484375  (0.000000)
[246] : 9.421875,  9.421875  (0.000000)
[247] : 14.828125,  14.828125  (0.000000)
[248] : 7.843750,  6.171875  (-1.671875)
[249] : 4.531250,  4.390625  (-0.140625)
[250] : 10.656250,  10.703125  (0.046875)
[251] : 8.375000,  6.468750  (-1.906250)
[252] : 6.156250,  6.156250  (0.000000)
[253] : 8.093750,  8.093750  (0.000000)
[254] : 5.437500,  5.437500  (0.000000)
[255] : 5.625000,  5.625000  (0.000000)
[256] : 29.718750,  26.593750  (-3.125000)
[257] : 149.296875,  161.312500  (12.015625)
[258] : 94.093750,  93.843750  (-0.250000)
[259] : 106.046875,  103.437500  (-2.609375)
[260] : 153.390625,  146.578125  (-6.812500)
[261] : 81.171875,  84.312500  (3.140625)
[262] : 10.078125,  10.078125  (0.000000)
[263] : 12.046875,  12.046875  (0.000000)
[264] : 8.328125,  7.218750  (-1.109375)
[265] : 13.187500,  10.593750  (-2.593750)
[266] : 13.593750,  13.609375  (0.015625)
[267] : 6.046875,  5.984375  (-0.062500)
[268] : 11.765625,  11.765625  (0.000000)
[269] : 8.078125,  8.078125  (0.000000)
[270] : 16.421875,  16.531250  (0.109375)
[271] : 6.421875,  6.421875  (0.000000)
[272] : 10.796875,  9.750000  (-1.046875)
[273] : 8.203125,  8.203125  (0.000000)
[274] : 15.937500,  12.359375  (-3.578125)
[275] : 12.359375,  12.359375  (0.000000)
[276] : 7.109375,  7.406250  (0.296875)
[277] : 10.265625,  10.265625  (0.000000)
[278] : 3.812500,  3.812500  (0.000000)
[279] : 6.187500,  5.328125  (-0.859375)
[280] : 3.750000,  2.656250  (-1.093750)
[281] : 10.171875,  10.171875  (0.000000)
[282] : 9.125000,  9.125000  (0.000000)
[283] : 5.593750,  5.593750  (0.000000)
[284] : 7.171875,  7.171875  (0.000000)
[285] : 4.343750,  4.343750  (0.000000)
[286] : 10.046875,  10.093750  (0.046875)
[287] : 8.296875,  8.296875  (0.000000)
[288] : 31.078125,  26.453125  (-4.625000)
[289] : 17.562500,  17.000000  (-0.562500)
[290] : 95.546875,  96.625000  (1.078125)
[291] : 12.312500,  12.265625  (-0.046875)
[292] : 11.953125,  11.953125  (0.000000)
[293] : 157.062500,  154.500000  (-2.562500)
[294] : 80.812500,  83.875000  (3.062500)
[295] : 9.843750,  9.765625  (-0.078125)
[296] : 9.937500,  10.078125  (0.140625)
[297] : 10.484375,  10.484375  (0.000000)
[298] : 11.078125,  10.968750  (-0.109375)
[299] : 11.640625,  11.640625  (0.000000)
[300] : 6.421875,  6.421875  (0.000000)
[301] : 7.750000,  8.656250  (0.906250)
[302] : 6.875000,  6.875000  (0.000000)
[303] : 12.484375,  12.484375  (0.000000)
[304] : 9.781250,  8.781250  (-1.000000)
[305] : 16.406250,  15.937500  (-0.468750)
[306] : 9.468750,  9.250000  (-0.218750)
[307] : 11.609375,  11.609375  (0.000000)
[308] : 9.609375,  9.625000  (0.015625)
[309] : 9.890625,  8.000000  (-1.890625)
[310] : 13.093750,  13.109375  (0.015625)
[311] : 10.812500,  10.812500  (0.000000)
[312] : 10.218750,  10.218750  (0.000000)
[313] : 5.968750,  5.984375  (0.015625)
[314] : 10.906250,  10.906250  (0.000000)
[315] : 8.781250,  7.593750  (-1.187500)
[316] : 4.890625,  4.890625  (0.000000)
[317] : 9.859375,  9.859375  (0.000000)
[318] : 10.234375,  10.234375  (0.000000)
[319] : 9.625000,  9.625000  (0.000000)
[320] : 34.437500,  30.843750  (-3.593750)
[321] : 10.812500,  10.812500  (0.000000)
[322] : 148.343750,  151.921875  (3.578125)
[323] : 14.375000,  14.375000  (0.000000)
[324] : 13.265625,  13.265625  (0.000000)
[325] : 7.187500,  7.187500  (0.000000)
[326] : 140.156250,  138.093750  (-2.062500)
[327] : 85.328125,  78.890625  (-6.437500)
[328] : 5.953125,  5.953125  (0.000000)
[329] : 6.640625,  6.421875  (-0.218750)
[330] : 10.281250,  10.281250  (0.000000)
[331] : 12.921875,  12.937500  (0.015625)
[332] : 12.500000,  12.500000  (0.000000)
[333] : 7.515625,  6.390625  (-1.125000)
[334] : 13.578125,  12.921875  (-0.656250)
[335] : 9.500000,  9.203125  (-0.296875)
[336] : 9.562500,  9.218750  (-0.343750)
[337] : 7.531250,  7.312500  (-0.218750)
[338] : 5.984375,  6.000000  (0.015625)
[339] : 11.531250,  9.687500  (-1.843750)
[340] : 13.718750,  12.625000  (-1.093750)
[341] : 9.109375,  9.109375  (0.000000)
[342] : 6.484375,  6.484375  (0.000000)
[343] : 2.625000,  2.625000  (0.000000)
[344] : 7.218750,  7.218750  (0.000000)
[345] : 8.875000,  8.796875  (-0.078125)
[346] : 3.625000,  3.625000  (0.000000)
[347] : 9.250000,  9.250000  (0.000000)
[348] : 7.921875,  7.921875  (0.000000)
[349] : 4.234375,  4.234375  (0.000000)
[350] : 8.781250,  8.781250  (0.000000)
[351] : 7.859375,  7.859375  (0.000000)
[352] : 36.312500,  33.500000  (-2.812500)
[353] : 6.593750,  5.062500  (-1.531250)
[354] : 29.296875,  29.296875  (0.000000)
[355] : 170.093750,  170.093750  (0.000000)
[356] : 195.218750,  259.843750  (64.625000)
[357] : 261.687500,  265.281250  (3.593750)
[358] : 200.156250,  206.890625  (6.734375)
[359] : 186.546875,  187.515625  (0.968750)
[360] : 13.828125,  13.828125  (0.000000)
[361] : 8.656250,  8.609375  (-0.046875)
[362] : 5.046875,  5.046875  (0.000000)
[363] : 6.968750,  6.968750  (0.000000)
[364] : 10.484375,  10.375000  (-0.109375)
[365] : 9.578125,  9.875000  (0.296875)
[366] : 7.859375,  7.859375  (0.000000)
[367] : 7.546875,  6.734375  (-0.812500)
[368] : 10.500000,  10.718750  (0.218750)
[369] : 13.921875,  13.546875  (-0.375000)
[370] : 8.406250,  8.062500  (-0.343750)
[371] : 5.562500,  5.562500  (0.000000)
[372] : 8.000000,  8.000000  (0.000000)
[373] : 3.671875,  3.671875  (0.000000)
[374] : 4.578125,  4.578125  (0.000000)
[375] : 3.875000,  3.875000  (0.000000)
[376] : 33.968750,  41.578125  (7.609375)
[377] : 7.968750,  7.859375  (-0.109375)
[378] : 8.140625,  8.140625  (0.000000)
[379] : 7.312500,  7.312500  (0.000000)
[380] : 4.546875,  4.546875  (0.000000)
[381] : 8.875000,  7.562500  (-1.312500)
[382] : 7.687500,  7.609375  (-0.078125)
[383] : 11.328125,  7.203125  (-4.125000)
[384] : 184.921875,  265.218750  (80.296875)
[385] : 4.781250,  3.578125  (-1.203125)
[386] : 4.687500,  4.687500  (0.000000)
[387] : 164.234375,  168.375000  (4.140625)
[388] : 201.156250,  201.140625  (-0.015625)
[389] : 320.265625,  325.031250  (4.765625)
[390] : 434.625000,  442.515625  (7.890625)
[391] : 388.437500,  399.890625  (11.453125)
[392] : 65.968750,  67.203125  (1.234375)
[393] : 91.421875,  89.156250  (-2.265625)
[394] : 10.296875,  8.250000  (-2.046875)
[395] : 17.328125,  13.250000  (-4.078125)
[396] : 3.968750,  3.968750  (0.000000)
[397] : 9.171875,  9.125000  (-0.046875)
[398] : 16.062500,  16.015625  (-0.046875)
[399] : 11.968750,  11.968750  (0.000000)
[400] : 12.906250,  12.906250  (0.000000)
