[192] : 160.062500,  146.890625  (-13.171875)
[193] : 23.046875,  22.937500  (-0.109375)
[194] : 10.984375,  10.984375  (0.000000)
[195] : 38.171875,  38.031250  (-0.140625)
[196] : 29.328125,  29.328125  (0.000000)
[197] : 19.343750,  18.859375  (-0.484375)
[198] : 33.359375,  25.531250  (-7.828125)
[199] : 12.421875,  12.421875  (0.000000)
[200] : 24.109375,  23.250000  (-0.859375)
[201] : 21.750000,  16.375000  (-5.375000)
[202] : 20.437500,  20.437500  (0.000000)
[203] : 21.937500,  22.062500  (0.125000)
[204] : 48.312500,  44.812500  (-3.500000)
[205] : 65.875000,  65.765625  (-0.109375)
[206] : 24.859375,  20.671875  (-4.187500)
[207] : 52.031250,  44.312500  (-7.718750)
[208] : 39.468750,  39.265625  (-0.203125)
[209] : 57.187500,  55.093750  (-2.093750)
[210] : 23.625000,  23.906250  (0.281250)
[211] : 48.843750,  48.546875  (-0.296875)
[212] : 16.406250,  15.921875  (-0.484375)
[213] : 28.843750,  28.843750  (0.000000)
[214] : 23.343750,  19.968750  (-3.375000)
[215] : 16.546875,  16.546875  (0.000000)
[216] : 7.281250,  7.218750  (-0.062500)
[217] : 28.453125,  27.875000  (-0.578125)
[218] : 12.453125,  12.468750  (0.015625)
[219] : 17.203125,  15.015625  (-2.187500)
[220] : 23.359375,  23.359375  (0.000000)
[221] : 45.562500,  40.593750  (-4.968750)
[222] : 13.875000,  13.859375  (-0.015625)
[223] : 20.906250,  20.984375  (0.078125)
[224] : 132.531250,  126.312500  (-6.218750)
[225] : 30.000000,  29.734375  (-0.265625)
[226] : 34.984375,  32.718750  (-2.265625)
[227] : 39.671875,  39.671875  (0.000000)
[228] : 22.421875,  22.421875  (0.000000)
[229] : 38.453125,  38.453125  (0.000000)
[230] : 28.640625,  22.968750  (-5.671875)
[231] : 28.031250,  25.812500  (-2.218750)
[232] : 33.625000,  33.625000  (0.000000)
[233] : 28.968750,  20.187500  (-8.781250)
[234] : 8.734375,  8.734375  (0.000000)
[235] : 40.562500,  40.484375  (-0.078125)
[236] : 32.468750,  32.468750  (0.000000)
[237] : 37.953125,  36.531250  (-1.421875)
[238] : 36.578125,  31.531250  (-5.046875)
[239] : 25.625000,  25.625000  (0.000000)
[240] : 21.359375,  21.359375  (0.000000)
[241] : 28.562500,  23.765625  (-4.796875)
[242] : 16.125000,  16.125000  (0.000000)
[243] : 44.046875,  43.843750  (-0.203125)
[244] : 34.968750,  34.968750  (0.000000)
[245] : 10.421875,  10.421875  (0.000000)
[246] : 31.078125,  31.078125  (0.000000)
[247] : 10.265625,  10.265625  (0.000000)
[248] : 57.437500,  46.546875  (-10.890625)
[249] : 17.843750,  13.390625  (-4.453125)
[250] : 18.375000,  18.328125  (-0.046875)
[251] : 11.843750,  9.343750  (-2.500000)
[252] : 17.718750,  17.718750  (0.000000)
[253] : 8.093750,  8.093750  (0.000000)
[254] : 17.312500,  17.312500  (0.000000)
[255] : 16.875000,  16.875000  (0.000000)
[256] : 130.468750,  125.093750  (-5.375000)
[257] : 403.359375,  416.093750  (12.734375)
[258] : 192.734375,  190.734375  (-2.000000)
[259] : 186.843750,  182.859375  (-3.984375)
[260] : 338.343750,  326.406250  (-11.937500)
[261] : 154.953125,  128.875000  (-26.078125)
[262] : 13.234375,  13.234375  (0.000000)
[263] : 35.953125,  35.953125  (0.000000)
[264] : 46.234375,  38.906250  (-7.328125)
[265] : 12.000000,  9.031250  (-2.968750)
[266] : 26.312500,  26.265625  (-0.046875)
[267] : 19.562500,  19.562500  (0.000000)
[268] : 16.734375,  16.734375  (0.000000)
[269] : 22.390625,  22.390625  (0.000000)
[270] : 22.953125,  23.031250  (0.078125)
[271] : 10.953125,  10.953125  (0.000000)
[272] : 32.890625,  30.906250  (-1.984375)
[273] : 12.515625,  12.515625  (0.000000)
[274] : 31.937500,  25.421875  (-6.515625)
[275] : 12.359375,  12.359375  (0.000000)
[276] : 42.046875,  41.062500  (-0.984375)
[277] : 39.296875,  39.296875  (0.000000)
[278] : 24.812500,  24.812500  (0.000000)
[279] : 9.156250,  7.984375  (-1.171875)
[280] : 28.968750,  23.187500  (-5.781250)
[281] : 39.921875,  39.921875  (0.000000)
[282] : 19.750000,  19.750000  (0.000000)
[283] : 33.593750,  33.593750  (0.000000)
[284] : 28.640625,  28.640625  (0.000000)
[285] : 4.343750,  4.343750  (0.000000)
[286] : 25.109375,  25.093750  (-0.015625)
[287] : 4.078125,  4.078125  (0.000000)
[288] : 119.671875,  119.390625  (-0.281250)
[289] : 12.562500,  12.187500  (-0.375000)
[290] : 252.671875,  253.500000  (0.828125)
[291] : 27.500000,  27.015625  (-0.484375)
[292] : 18.984375,  18.984375  (0.000000)
[293] : 219.421875,  213.796875  (-5.625000)
[294] : 132.656250,  116.093750  (-16.562500)
[295] : 28.312500,  28.078125  (-0.234375)
[296] : 35.437500,  35.453125  (0.015625)
[297] : 36.609375,  36.609375  (0.000000)
[298] : 28.390625,  28.281250  (-0.109375)
[299] : 15.671875,  15.671875  (0.000000)
