   DCT only, opt basis No.6 (MSE)
[311] : 1.890625,  1.890625
[312] : 2.109375,  2.109375
[313] : 3.640625,  3.687500
[314] : 2.781250,  2.781250
[315] : 2.625000,  2.500000
[316] : 2.671875,  2.671875
[317] : 2.031250,  2.031250
[318] : 2.156250,  2.156250
[319] : 1.796875,  1.796875
[320] : 5.421875,  5.515625
[321] : 3.843750,  3.843750
[322] : 14.296875,  30.781250
[323] : 8.859375,  8.859375
[324] : 3.203125,  3.203125
[325] : 3.453125,  3.453125
[326] : 34.218750,  34.593750
[327] : 29.671875,  30.953125
[328] : 3.796875,  3.796875
[329] : 3.015625,  3.078125
[330] : 4.343750,  4.343750
[331] : 4.750000,  4.734375
[332] : 2.906250,  2.906250
[333] : 4.703125,  6.453125
[334] : 5.406250,  5.531250
[335] : 3.890625,  3.843750
[336] : 3.703125,  3.546875
[337] : 3.109375,  4.515625
[338] : 4.062500,  4.078125
[339] : 3.515625,  3.765625
[340] : 3.187500,  2.656250
[341] : 1.968750,  1.968750
[342] : 2.765625,  2.765625
[343] : 1.515625,  1.515625
[344] : 1.671875,  1.671875
[345] : 1.625000,  1.640625
[346] : 1.843750,  1.843750
[347] : 2.656250,  2.656250
[348] : 2.375000,  2.375000
[349] : 2.093750,  2.093750
[350] : 2.375000,  2.375000
[351] : 1.843750,  1.843750
[352] : 3.125000,  8.031250
[353] : 2.015625,  2.109375
[354] : 10.187500,  10.187500
[355] : 26.609375,  26.609375
[356] : 40.812500,  113.937500
[357] : 39.718750,  40.656250
[358] : 51.640625,  73.656250
[359] : 56.531250,  62.312500
[360] : 3.203125,  3.203125
[361] : 3.359375,  3.343750
[362] : 3.046875,  3.046875
[363] : 3.578125,  3.578125
[364] : 2.234375,  2.218750
[365] : 5.531250,  5.578125
[366] : 4.703125,  4.703125
[367] : 3.828125,  3.859375
[368] : 3.500000,  3.718750
[369] : 4.953125,  4.796875
[370] : 4.156250,  4.156250
[371] : 2.718750,  2.718750
[372] : 2.140625,  2.140625
[373] : 1.906250,  1.906250
[374] : 2.312500,  2.312500
[375] : 2.000000,  2.000000
[376] : 8.687500,  29.046875
[377] : 1.468750,  1.421875
[378] : 1.453125,  1.453125
[379] : 1.593750,  1.593750
[380] : 2.109375,  2.109375
[381] : 2.453125,  2.109375
[382] : 1.531250,  1.484375
[383] : 1.796875,  1.359375
[384] : 39.734375,  156.562500
[385] : 1.468750,  1.265625
[386] : 3.125000,  3.125000
[387] : 24.109375,  26.062500
[388] : 29.781250,  31.296875
[389] : 34.500000,  36.515625
[390] : 41.562500,  52.921875
[391] : 41.312500,  58.515625
[392] : 9.031250,  9.734375
[393] : 14.515625,  13.718750
[394] : 4.093750,  3.890625
[395] : 6.640625,  6.843750
[396] : 3.203125,  3.203125
[397] : 4.890625,  4.906250
[398] : 3.281250,  3.328125
[399] : 5.265625,  5.265625
[400] : 4.718750,  4.718750
[401] : 5.171875,  5.250000
[402] : 4.812500,  5.656250
[403] : 6.062500,  5.906250
[404] : 21.343750,  22.046875
[405] : 29.031250,  47.125000
[406] : 6.593750,  8.625000
[407] : 39.203125,  43.406250
[408] : 33.078125,  48.843750
[409] : 16.015625,  15.890625
[410] : 4.281250,  4.421875
[411] : 4.265625,  4.187500
[412] : 3.312500,  3.312500
[413] : 3.109375,  3.109375
[414] : 5.046875,  5.046875
[415] : 6.484375,  6.437500
[416] : 31.781250,  90.281250
[417] : 2.328125,  2.328125
[418] : 4.125000,  4.125000
[419] : 30.531250,  30.515625
[420] : 22.515625,  83.937500
[421] : 29.171875,  28.531250
[422] : 53.125000,  53.187500
[423] : 37.484375,  37.531250
