



,[0],,,,317.125000,,,,276.906250,,,,213.625000,,,,163.328125



,[1],,,,26.796875,,,,20.453125,,,,17.203125,,,,14.421875



,[2],,,,91.109375,,,,62.703125,,,,54.125000,,,,45.421875



,[3],,,,130.453125,,,,92.734375,,,,71.281250,,,,57.906250



,[4],,,,129.812500,,,,71.000000,,,,55.500000,,,,44.593750



,[5],,,,169.578125,,,,90.281250,,,,58.843750,,,,46.218750



,[58],,,,118.984375,,,,69.515625,,,,48.765625,,,,36.812500



,[59],,,,223.203125,,,,145.609375,,,,115.078125,,,,92.031250



,[60],,,,166.890625,,,,101.046875,,,,82.687500,,,,72.546875



,[61],,,,30.953125,,,,26.359375,,,,22.421875,,,,18.812500



,[62],,,,25.687500,,,,22.187500,,,,18.843750,,,,15.625000



,[63],,,,15.718750,,,,14.046875,,,,12.515625,,,,11.109375



,[64],,,,506.390625,,,,351.250000,,,,260.218750,,,,215.421875



,[65],,,,40.390625,,,,31.250000,,,,23.843750,,,,19.281250



,[66],,,,112.921875,,,,71.812500,,,,51.437500,,,,32.250000



,[67],,,,469.765625,,,,297.640625,,,,174.781250,,,,122.859375



,[68],,,,82.796875,,,,61.984375,,,,46.375000,,,,36.328125



,[69],,,,255.968750,,,,199.640625,,,,168.703125,,,,137.812500



,[70],,,,32.968750,,,,24.421875,,,,21.328125,,,,18.984375



,[71],,,,57.562500,,,,49.781250,,,,43.156250,,,,39.015625



,[72],,,,18.234375,,,,13.109375,,,,11.531250,,,,9.312500



,[73],,,,6.984375,,,,6.109375,,,,4.828125,,,,4.640625



,[74],,,,6.093750,,,,5.031250,,,,4.375000,,,,3.906250



,[75],,,,5.828125,,,,4.921875,,,,4.671875,,,,3.890625



,[76],,,,7.203125,,,,5.468750,,,,4.703125,,,,3.843750



,[77],,,,10.656250,,,,8.656250,,,,6.875000,,,,5.625000



,[78],,,,9.937500,,,,7.500000,,,,6.906250,,,,6.406250



,[79],,,,11.500000,,,,9.328125,,,,8.265625,,,,6.734375



,[80],,,,5.562500,,,,4.406250,,,,3.984375,,,,3.640625



,[81],,,,6.828125,,,,5.312500,,,,4.609375,,,,4.125000



,[82],,,,4.484375,,,,4.125000,,,,3.609375,,,,3.265625



,[83],,,,7.296875,,,,4.656250,,,,3.984375,,,,3.546875



,[84],,,,11.953125,,,,9.765625,,,,8.156250,,,,6.359375



,[85],,,,11.734375,,,,7.515625,,,,5.921875,,,,5.578125



,[86],,,,7.468750,,,,5.312500,,,,4.640625,,,,3.953125



,[87],,,,5.765625,,,,5.156250,,,,4.296875,,,,3.734375



,[88],,,,11.640625,,,,7.828125,,,,5.453125,,,,4.609375



,[89],,,,22.843750,,,,16.296875,,,,11.812500,,,,9.953125



,[90],,,,15.921875,,,,14.062500,,,,11.812500,,,,9.906250



,[91],,,,11.046875,,,,8.671875,,,,6.812500,,,,5.953125



,[92],,,,34.625000,,,,18.406250,,,,13.546875,,,,10.921875



,[93],,,,253.671875,,,,196.468750,,,,160.453125,,,,130.687500



,[94],,,,444.281250,,,,301.859375,,,,214.312500,,,,142.843750



