
量子化なし

[240] DCT : 201.171875, ICA : 201.171875
[241] DCT : 201.687500, ICA : 201.687500
[242] DCT : 201.656250, ICA : 201.656250
[243] DCT : 199.484375, ICA : 199.484375
[244] DCT : 197.500000, ICA : 197.500000
[245] DCT : 195.921875, ICA : 195.921875
[246] DCT : 202.703125, ICA : 202.703125
[247] DCT : 205.890625, ICA : 205.890625
[248] DCT : 204.593750, ICA : 204.593750
[249] DCT : 200.093750, ICA : 200.093750
[250] DCT : 201.625000, ICA : 201.625000
[251] DCT : 201.250000, ICA : 201.250000
[252] DCT : 206.531250, ICA : 206.531250
[253] DCT : 211.437500, ICA : 211.437500
[254] DCT : 212.968750, ICA : 212.968750
[255] DCT : 212.812500, ICA : 212.812500
[256] DCT : 197.812500, ICA : 197.812500
[257] DCT : 195.156250, ICA : 195.156250
[258] DCT : 83.484375, ICA : 83.484375
[259] DCT : 91.437500, ICA : 91.437500
[260] DCT : 122.828125, ICA : 122.828125
[261] DCT : 198.421875, ICA : 198.421875
[262] DCT : 196.078125, ICA : 196.078125
[263] DCT : 193.703125, ICA : 193.703125
[264] DCT : 194.015625, ICA : 194.015625
[265] DCT : 191.843750, ICA : 191.843750
[266] DCT : 193.562500, ICA : 193.562500
[267] DCT : 200.500000, ICA : 200.500000
[268] DCT : 200.140625, ICA : 200.140625
[269] DCT : 202.703125, ICA : 202.703125
[270] DCT : 197.765625, ICA : 197.765625
[271] DCT : 200.578125, ICA : 200.578125
[272] DCT : 203.953125, ICA : 203.953125
[273] DCT : 205.609375, ICA : 205.609375
[274] DCT : 204.000000, ICA : 204.000000
[275] DCT : 201.765625, ICA : 201.765625
[276] DCT : 204.796875, ICA : 204.796875
[277] DCT : 209.421875, ICA : 209.421875
[278] DCT : 212.156250, ICA : 212.156250
[279] DCT : 215.125000, ICA : 215.125000
[280] DCT : 212.625000, ICA : 212.625000
[281] DCT : 209.640625, ICA : 209.640625
[282] DCT : 202.656250, ICA : 202.656250
[283] DCT : 204.500000, ICA : 204.500000
[284] DCT : 209.078125, ICA : 209.078125
[285] DCT : 210.718750, ICA : 210.718750
[286] DCT : 213.765625, ICA : 213.765625
[287] DCT : 215.609375, ICA : 215.609375
[288] DCT : 195.828125, ICA : 195.828125
[289] DCT : 206.000000, ICA : 206.000000
[290] DCT : 107.593750, ICA : 107.593750
[291] DCT : 73.625000, ICA : 73.625000
[292] DCT : 76.578125, ICA : 76.578125
[293] DCT : 119.328125, ICA : 119.328125
[294] DCT : 197.250000, ICA : 197.250000
[295] DCT : 192.500000, ICA : 192.500000
[296] DCT : 194.187500, ICA : 194.187500
[297] DCT : 194.265625, ICA : 194.265625
[298] DCT : 193.203125, ICA : 193.203125
[299] DCT : 190.953125, ICA : 190.953125
[300] DCT : 196.296875, ICA : 196.296875
[301] DCT : 196.468750, ICA : 196.468750
[302] DCT : 192.250000, ICA : 192.250000
[303] DCT : 195.484375, ICA : 195.484375
[304] DCT : 198.781250, ICA : 198.781250
[305] DCT : 199.875000, ICA : 199.875000
[306] DCT : 202.156250, ICA : 202.156250
[307] DCT : 203.015625, ICA : 203.015625
[308] DCT : 205.046875, ICA : 205.046875
[309] DCT : 206.578125, ICA : 206.578125
[310] DCT : 211.218750, ICA : 211.218750
[311] DCT : 213.812500, ICA : 213.812500
[312] DCT : 210.968750, ICA : 210.968750
[313] DCT : 206.031250, ICA : 206.031250
[314] DCT : 205.593750, ICA : 205.593750
[315] DCT : 207.375000, ICA : 207.375000
[316] DCT : 208.515625, ICA : 208.515625
[317] DCT : 209.546875, ICA : 209.546875
[318] DCT : 211.421875, ICA : 211.421875
[319] DCT : 213.656250, ICA : 213.656250
[320] DCT : 195.593750, ICA : 195.593750
[321] DCT : 205.812500, ICA : 205.812500
[322] DCT : 171.656250, ICA : 171.656250
[323] DCT : 66.468750, ICA : 66.468750
[324] DCT : 73.203125, ICA : 73.203125
[325] DCT : 72.437500, ICA : 72.437500
[326] DCT : 122.296875, ICA : 122.296875
[327] DCT : 204.968750, ICA : 204.968750
[328] DCT : 202.390625, ICA : 202.390625
[329] DCT : 201.140625, ICA : 201.140625
[330] DCT : 200.687500, ICA : 200.687500
[331] DCT : 198.734375, ICA : 198.734375
[332] DCT : 193.656250, ICA : 193.656250
[333] DCT : 190.328125, ICA : 190.328125
[334] DCT : 186.421875, ICA : 186.421875
[335] DCT : 188.968750, ICA : 188.968750
[336] DCT : 194.687500, ICA : 194.687500
[337] DCT : 200.812500, ICA : 200.812500
[338] DCT : 204.359375, ICA : 204.359375
[339] DCT : 204.812500, ICA : 204.812500
[340] DCT : 205.343750, ICA : 205.343750
[341] DCT : 207.421875, ICA : 207.421875
[342] DCT : 210.703125, ICA : 210.703125
[343] DCT : 212.375000, ICA : 212.375000
[344] DCT : 213.843750, ICA : 213.843750
[345] DCT : 213.812500, ICA : 213.812500
[346] DCT : 214.531250, ICA : 214.531250
[347] DCT : 211.687500, ICA : 211.687500
[348] DCT : 209.953125, ICA : 209.953125
[349] DCT : 208.109375, ICA : 208.109375
[350] DCT : 209.593750, ICA : 209.593750
[351] DCT : 211.171875, ICA : 211.171875
[352] DCT : 203.406250, ICA : 203.406250
[353] DCT : 212.375000, ICA : 212.375000
[354] DCT : 217.421875, ICA : 217.421875
[355] DCT : 113.203125, ICA : 113.203125
[356] DCT : 89.000000, ICA : 89.000000
[357] DCT : 112.234375, ICA : 112.234375
[358] DCT : 101.578125, ICA : 101.578125
[359] DCT : 171.062500, ICA : 171.062500
[360] DCT : 209.828125, ICA : 209.828125
[361] DCT : 207.250000, ICA : 207.250000
[362] DCT : 206.421875, ICA : 206.421875
[363] DCT : 204.906250, ICA : 204.906250
[364] DCT : 201.953125, ICA : 201.953125
[365] DCT : 198.609375, ICA : 198.609375
[366] DCT : 190.640625, ICA : 190.640625
[367] DCT : 190.609375, ICA : 190.609375
[368] DCT : 193.250000, ICA : 193.250000
[369] DCT : 195.578125, ICA : 195.578125
[370] DCT : 200.218750, ICA : 200.218750
[371] DCT : 208.156250, ICA : 208.156250
[372] DCT : 208.750000, ICA : 208.750000
[373] DCT : 210.140625, ICA : 210.140625
[374] DCT : 214.015625, ICA : 214.015625
[375] DCT : 216.343750, ICA : 216.343750
[376] DCT : 216.000000, ICA : 216.000000
[377] DCT : 217.625000, ICA : 217.625000
[378] DCT : 219.671875, ICA : 219.671875
[379] DCT : 219.312500, ICA : 219.312500
[380] DCT : 218.328125, ICA : 218.328125
[381] DCT : 216.000000, ICA : 216.000000
[382] DCT : 215.843750, ICA : 215.843750
[383] DCT : 215.796875, ICA : 215.796875
[384] DCT : 197.875000, ICA : 197.875000
[385] DCT : 214.718750, ICA : 214.718750
[386] DCT : 214.625000, ICA : 214.625000
[387] DCT : 178.046875, ICA : 178.046875
[388] DCT : 75.515625, ICA : 75.515625
[389] DCT : 98.812500, ICA : 98.812500
[390] DCT : 84.531250, ICA : 84.531250
[391] DCT : 119.843750, ICA : 119.843750
[392] DCT : 170.578125, ICA : 170.578125
[393] DCT : 201.625000, ICA : 201.625000
[394] DCT : 209.640625, ICA : 209.640625
[395] DCT : 209.359375, ICA : 209.359375
[396] DCT : 208.093750, ICA : 208.093750
[397] DCT : 206.046875, ICA : 206.046875
[398] DCT : 199.937500, ICA : 199.937500
[399] DCT : 193.312500, ICA : 193.312500
[400] DCT : 188.281250, ICA : 188.281250
[401] DCT : 196.359375, ICA : 196.359375
[402] DCT : 198.015625, ICA : 198.015625
[403] DCT : 202.437500, ICA : 202.437500
[404] DCT : 190.031250, ICA : 190.031250
[405] DCT : 187.046875, ICA : 187.046875
[406] DCT : 206.546875, ICA : 206.546875
[407] DCT : 168.484375, ICA : 168.484375
[408] DCT : 137.671875, ICA : 137.671875
[409] DCT : 187.296875, ICA : 187.296875
[410] DCT : 211.343750, ICA : 211.343750
[411] DCT : 210.984375, ICA : 210.984375
[412] DCT : 215.234375, ICA : 215.234375
[413] DCT : 208.437500, ICA : 208.437500
[414] DCT : 205.125000, ICA : 205.125000
[415] DCT : 199.734375, ICA : 199.734375
[416] DCT : 169.015625, ICA : 169.015625
[417] DCT : 215.546875, ICA : 215.546875
[418] DCT : 213.968750, ICA : 213.968750
[419] DCT : 175.171875, ICA : 175.171875
[420] DCT : 62.859375, ICA : 62.859375
[421] DCT : 55.812500, ICA : 55.812500
[422] DCT : 96.968750, ICA : 96.968750
[423] DCT : 97.093750, ICA : 97.093750
[424] DCT : 66.656250, ICA : 66.656250
[425] DCT : 72.187500, ICA : 72.187500
[426] DCT : 109.562500, ICA : 109.562500
[427] DCT : 152.953125, ICA : 152.953125
[428] DCT : 178.656250, ICA : 178.656250
[429] DCT : 176.140625, ICA : 176.140625
[430] DCT : 178.250000, ICA : 178.250000
[431] DCT : 172.515625, ICA : 172.515625
[432] DCT : 157.031250, ICA : 157.031250
[433] DCT : 138.578125, ICA : 138.578125
[434] DCT : 120.531250, ICA : 120.531250
[435] DCT : 90.703125, ICA : 90.703125
[436] DCT : 82.453125, ICA : 82.453125
[437] DCT : 68.468750, ICA : 68.468750
[438] DCT : 81.390625, ICA : 81.390625
[439] DCT : 90.890625, ICA : 90.890625
[440] DCT : 124.625000, ICA : 124.625000
[441] DCT : 141.000000, ICA : 141.000000
[442] DCT : 191.234375, ICA : 191.234375
[443] DCT : 202.015625, ICA : 202.015625
[444] DCT : 200.796875, ICA : 200.796875
