,,1539,,583,,2.639794168,,,,,
,,,,,,,,,,,
Q40,,,,,,,,,,,
Area_num,,ica_basis2,,,,,,,,,
92,,99,,10,15,23,48,34,,,
93,,99,,99,99,99,99,99,,,
94,,99,,99,99,99,99,99,,,
95,,99,,99,99,99,99,99,,,
96,,99,,61,23,27,58,17,,,
97,,99,,99,99,99,99,99,,,
98,,99,,61,0,57,33,36,,,
99,,99,,99,99,99,99,99,,,
100,,99,,99,99,99,99,99,,,
101,,99,,23,33,40,44,4,,,
102,,99,,24,10,53,12,5,,,
103,,99,,24,61,46,4,41,,,
104,,99,,99,99,99,99,99,,,
105,,99,,99,99,99,99,99,,,
106,,99,,99,99,99,99,99,,,
107,,99,,99,99,99,99,99,,,
108,,0,,15,12,27,57,52,,0_area,
109,,0,,39,19,42,11,20,,0_area,
110,,0,,20,29,15,0,1,,0_area,
111,,99,,99,99,99,99,99,,,
112,,0,,5,36,43,7,42,,0_area,
113,,0,,26,61,40,32,15,,0_area,
114,,0,,99,99,99,99,99,,0_area,
115,,99,,99,99,99,99,99,,,
116,,0,,18,26,40,45,24,,0_area,
117,,1,,61,47,36,55,46,,,
118,,1,,61,48,59,51,14,,,
119,,1,,40,24,5,3,54,,,
120,,0,,61,40,15,54,21,,0_area,
121,,0,,40,61,14,10,23,,0_area,
122,,0,,62,21,12,6,44,,0_area,
123,,0,,36,4,61,40,12,,0_area,
124,,0,,24,10,55,36,42,,0_area,
125,,99,,99,99,99,99,99,,,
126,,99,,61,24,21,11,19,,,
127,,99,,99,99,99,99,99,,,
128,,99,,21,61,23,13,47,,,
129,,99,,99,99,99,99,99,,,
130,,99,,99,99,99,99,99,,,
131,,99,,99,99,99,99,99,,,
132,,5,,40,4,17,10,47,,,
133,,0,,13,54,57,51,30,,0_area,
134,,0,,38,53,61,24,29,,0_area,
135,,0,,42,37,40,39,15,,0_area,
136,,99,,99,99,99,99,99,,,
137,,99,,99,99,99,99,99,,,
138,,99,,99,99,99,99,99,,,
139,,99,,99,99,99,99,99,,,
140,,0,,4,36,53,0,13,,0_area,
141,,0,,36,47,58,39,40,,0_area,
142,,2,,61,24,4,5,38,,,
143,,99,,99,99,99,99,99,,,
144,,99,,99,99,99,99,99,,,
145,,99,,61,34,42,15,5,,,
146,,99,,99,99,99,99,99,,,
147,,99,,18,5,54,60,7,,,
148,,99,,99,99,99,99,99,,,
149,,0,,99,99,99,99,99,,0_area,
150,,0,,61,5,10,42,41,,0_area,
151,,0,,54,21,46,15,42,,0_area,
152,,1,,61,11,5,1,56,,,
153,,0,,5,26,59,25,0,,0_area,
154,,0,,5,1,57,43,38,,0_area,
155,,0,,46,1,34,13,61,,0_area,
156,,1,,5,10,61,54,29,,,
157,,0,,15,19,7,39,10,,0_area,
158,,0,,61,34,29,21,63,,0_area,
159,,0,,29,40,24,45,7,,0_area,
160,,99,,99,99,99,99,99,,,
161,,0,,6,5,39,16,24,,0_area,
162,,0,,6,51,7,16,53,,0_area,
163,,0,,61,40,23,3,36,,0_area,
164,,0,,24,5,4,41,27,,0_area,
165,,99,,99,99,99,99,99,,,
166,,99,,61,40,20,33,4,,,
167,,1,,24,42,3,34,50,,21,
168,,1,,21,40,43,38,4,,21,
169,,0,,56,54,43,57,4,,0_area,
170,,0,,5,36,17,61,21,,0_area,
171,,0,,37,36,55,61,0,,0_area,
172,,99,,99,99,99,99,99,,,
173,,1,,61,17,10,34,20,,,
174,,0,,15,5,61,24,26,,0_area,
175,,1,,24,34,54,25,51,,,
176,,1,,13,18,16,6,12,,,
177,,0,,61,10,42,4,43,,0_area,
178,,0,,10,4,37,52,36,,0_area,
179,,99,,4,51,13,30,62,,,
180,,1,,13,51,42,61,40,,,
181,,99,,99,99,99,99,99,,,
182,,0,,21,61,62,2,58,,0_area,
183,,1,,51,13,15,9,4,,,
184,,99,,99,99,99,99,99,,,
185,,99,,99,99,99,99,99,,,
186,,99,,99,99,99,99,99,,,
187,,1,,61,36,60,57,13,,,
188,,99,,99,99,99,99,99,,,
189,,99,,99,99,99,99,99,,,
190,,0,,17,39,24,5,40,,0_area,
191,,0,,53,5,27,0,58,,0_area,
192,,99,,11,55,23,56,58,,,
193,,0,,99,99,99,99,99,,0_area,
194,,0,,13,49,6,10,30,,0_area,
195,,0,,61,12,18,8,44,,0_area,
196,,0,,61,18,51,59,38,,0_area,
197,,0,,54,19,6,39,32,,0_area,
198,,0,,21,59,61,34,29,,0_area,
199,,0,,61,57,59,6,39,,0_area,
200,,0,,99,99,99,99,99,,0_area,
201,,0,,1,35,0,25,21,,0_area,
202,,1,,61,55,39,40,26,,,
203,,99,,99,99,99,99,99,,,
204,,2,,24,0,15,37,43,,,
205,,2,,61,3,21,24,58,,,
206,,2,,42,61,7,5,53,,,
207,,0,,13,22,16,46,51,,0_area,
208,,1,,20,5,62,41,38,,,
209,,99,,99,99,99,99,99,,,
210,,1,,40,21,57,18,24,,,
