
basis : 14, 39, 59
 [91]  dct:12.500000  a:12.500000  b:12.140625  c:12.500000   (2)    [14]:-0.141825, [39]:0.349049, [59]:-0.061757
 [92]  dct:20.171875  a:20.171875  b:19.875000  c:19.296875   (3)    [14]:0.149378, [39]:-0.256856, [59]:-0.501649
 [93]  dct:27.750000  a:27.750000  b:27.640625  c:27.125000   (3)    [14]:0.322120, [39]:0.281068, [59]:-0.342506
 [94]  dct:28.328125  a:28.328125  b:28.328125  c:36.937500   (0)    [14]:0.075026, [39]:0.088150, [59]:-1.039510
 [95]  dct:29.140625  a:29.906250  b:29.140625  c:124.796875   (0)    [14]:-0.828319, [39]:-0.138002, [59]:-2.375715
 [96]  dct:64.187500  a:64.187500  b:64.187500  c:64.187500   (0)    [14]:0.153983, [39]:-0.078087, [59]:0.083944
 [97]  dct:38.593750  a:38.593750  b:38.593750  c:37.937500   (3)    [14]:-0.067086, [39]:-0.069348, [59]:0.938019
 [98]  dct:38.375000  a:38.640625  b:38.421875  c:39.187500   (0)    [14]:0.496180, [39]:-0.570133, [59]:1.094190
 [99]  dct:37.078125  a:37.000000  b:36.062500  c:37.078125   (2)    [14]:-1.306301, [39]:1.137544, [59]:-0.048416
 [100]  dct:37.875000  a:36.187500  b:37.875000  c:63.234375   (1)    [14]:-0.564674, [39]:0.047604, [59]:-1.675942
 [101]  dct:38.953125  a:40.062500  b:38.953125  c:41.703125   (0)    [14]:1.217145, [39]:0.061616, [59]:-0.955936
 [102]  dct:19.140625  a:19.140625  b:18.171875  c:16.000000   (3)    [14]:-0.029592, [39]:0.395106, [59]:-0.347821
 [103]  dct:20.765625  a:20.765625  b:19.921875  c:21.093750   (2)    [14]:0.191270, [39]:0.737245, [59]:-0.660747
 [104]  dct:41.156250  a:41.156250  b:39.546875  c:34.562500   (3)    [14]:0.134961, [39]:0.522117, [59]:-0.615098
 [105]  dct:51.531250  a:51.453125  b:54.609375  c:49.796875   (3)    [14]:0.671008, [39]:1.012116, [59]:1.070115
 [106]  dct:31.671875  a:31.734375  b:31.500000  c:34.171875   (2)    [14]:-0.247142, [39]:0.235495, [59]:1.301376
 [107]  dct:23.093750  a:23.046875  b:22.640625  c:28.937500   (2)    [14]:-0.484225, [39]:0.354173, [59]:1.240503
 [111]  dct:8.578125  a:8.578125  b:8.578125  c:8.578125   (0)    [14]:-0.004944, [39]:-0.139286, [59]:0.077609
 [112]  dct:9.671875  a:9.531250  b:9.625000  c:7.531250   (3)    [14]:-0.213492, [39]:0.229317, [59]:-0.398958
 [114]  dct:7.562500  a:7.562500  b:7.562500  c:6.828125   (3)    [14]:0.356616, [39]:-0.198028, [59]:0.295474
 [115]  dct:8.593750  a:8.593750  b:8.593750  c:8.593750   (0)    [14]:0.024320, [39]:0.193018, [59]:-0.062827
 [116]  dct:5.843750  a:5.843750  b:5.843750  c:5.843750   (0)    [14]:0.212186, [39]:-0.045591, [59]:0.019807
 [117]  dct:4.281250  a:4.359375  b:4.281250  c:3.843750   (3)    [14]:0.478941, [39]:-0.188476, [59]:0.284148
 [124]  dct:6.750000  a:6.750000  b:6.750000  c:6.750000   (0)    [14]:0.207300, [39]:0.154250, [59]:-0.109956
 [125]  dct:5.656250  a:5.656250  b:5.656250  c:5.656250   (0)    [14]:0.017265, [39]:-0.157447, [59]:-0.097173
 [127]  dct:10.031250  a:10.031250  b:10.031250  c:8.843750   (3)    [14]:-0.124777, [39]:0.091526, [59]:-0.408033
 [128]  dct:55.937500  a:55.937500  b:47.859375  c:60.109375   (2)    [14]:-0.109940, [39]:-1.024002, [59]:-1.340979
 [129]  dct:22.046875  a:22.046875  b:22.046875  c:29.125000   (0)    [14]:0.303805, [39]:0.161646, [59]:-0.760598
 [130]  dct:16.296875  a:16.296875  b:16.296875  c:20.296875   (0)    [14]:0.144206, [39]:-0.105441, [59]:-0.693414
 [131]  dct:23.078125  a:23.031250  b:22.765625  c:22.656250   (3)    [14]:-0.224882, [39]:0.449471, [59]:-0.542440
 [132]  dct:19.578125  a:19.406250  b:18.656250  c:16.859375   (3)    [14]:-0.209240, [39]:0.457591, [59]:-0.312263
 [136]  dct:11.281250  a:11.281250  b:11.281250  c:11.281250   (0)    [14]:0.052308, [39]:0.070434, [59]:0.118903
 [137]  dct:20.750000  a:20.750000  b:20.750000  c:20.750000   (0)    [14]:0.374423, [39]:-0.160356, [59]:0.045528
 [138]  dct:12.828125  a:12.671875  b:12.750000  c:13.171875   (1)    [14]:-0.638967, [39]:0.247239, [59]:-0.378192
 [139]  dct:18.140625  a:18.140625  b:18.140625  c:17.953125   (3)    [14]:0.169624, [39]:0.099978, [59]:-0.207201
 [141]  dct:11.437500  a:11.437500  b:11.281250  c:11.437500   (2)    [14]:0.142174, [39]:0.328352, [59]:-0.021241
 [142]  dct:16.078125  a:16.140625  b:16.078125  c:13.562500   (3)    [14]:-0.257053, [39]:0.041984, [59]:-0.403716
 [143]  dct:33.875000  a:33.859375  b:33.875000  c:31.328125   (3)    [14]:0.453133, [39]:-0.019272, [59]:0.746224
 [144]  dct:45.593750  a:45.593750  b:47.937500  c:44.062500   (3)    [14]:-0.195959, [39]:0.939888, [59]:0.395536
 [145]  dct:18.109375  a:18.109375  b:18.265625  c:13.671875   (3)    [14]:0.100006, [39]:0.731130, [59]:0.853134
 [146]  dct:13.406250  a:13.406250  b:13.406250  c:12.312500   (3)    [14]:0.291607, [39]:0.002082, [59]:0.366569
 [147]  dct:10.828125  a:10.812500  b:10.828125  c:10.828125   (1)    [14]:0.662871, [39]:-0.154620, [59]:0.060241
 [148]  dct:14.265625  a:14.265625  b:13.000000  c:13.156250   (2)    [14]:0.127546, [39]:-0.437336, [59]:0.329530
 [151]  dct:7.000000  a:7.000000  b:7.000000  c:7.015625   (0)    [14]:-0.039137, [39]:-0.205575, [59]:-0.116294
 [154]  dct:5.703125  a:5.703125  b:5.656250  c:5.703125   (2)    [14]:-0.104723, [39]:0.255523, [59]:-0.006691
 [155]  dct:3.515625  a:3.515625  b:3.515625  c:3.515625   (0)    [14]:-0.090101, [39]:0.017205, [59]:0.042609
 [156]  dct:6.968750  a:6.968750  b:6.984375  c:6.609375   (3)    [14]:0.244758, [39]:0.249970, [59]:-0.133003
 [158]  dct:4.484375  a:4.484375  b:4.265625  c:4.078125   (3)    [14]:0.232702, [39]:0.395842, [59]:0.336818
 [160]  dct:30.515625  a:30.515625  b:29.312500  c:28.593750   (3)    [14]:-0.006101, [39]:-0.477098, [59]:-0.667140
 [170]  dct:8.406250  a:8.406250  b:8.406250  c:8.406250   (0)    [14]:0.343774, [39]:0.063755, [59]:-0.064969
 [171]  dct:11.968750  a:11.968750  b:11.968750  c:11.968750   (0)    [14]:-0.185043, [39]:0.179192, [59]:0.142178
 [172]  dct:11.343750  a:10.968750  b:11.343750  c:11.546875   (1)    [14]:0.524310, [39]:0.112210, [59]:0.264545
 [173]  dct:6.421875  a:6.421875  b:6.421875  c:6.593750   (0)    [14]:-0.021099, [39]:0.028342, [59]:0.296850
 [175]  dct:19.937500  a:19.937500  b:19.937500  c:14.750000   (3)    [14]:0.031549, [39]:0.208132, [59]:-0.439415
