 before :0.247039, after : 0.232604
 [271] : before 0.000244 , after 0.000214  diff = 0.000031

 [272] : before 0.000229 , after 0.000214  diff = 0.000015

 [273] : before 0.000244 , after 0.000214  diff = 0.000031

 [274] : before 0.000244 , after 0.000214  diff = 0.000031

 [275] : before 0.000244 , after 0.000205  diff = 0.000039

 [276] : before 0.000244 , after 0.000220  diff = 0.000024

 [277] : before 0.000244 , after 0.000244  diff = 0.000000

 [278] : before 0.000244 , after 0.000220  diff = 0.000024

 [279] : before 0.000229 , after 0.000229  diff = 0.000000

 [280] : before 0.000244 , after 0.000244  diff = 0.000000

 [281] : before 0.000220 , after 0.000214  diff = 0.000006

 [282] : before 0.000229 , after 0.000209  diff = 0.000020

 [283] : before 0.000244 , after 0.000220  diff = 0.000024

 [284] : before 0.000244 , after 0.000205  diff = 0.000039

 [285] : before 0.000244 , after 0.000220  diff = 0.000024

 [286] : before 0.000244 , after 0.000214  diff = 0.000031

 [287] : before 0.000244 , after 0.000220  diff = 0.000024

 [288] : before 0.000244 , after 0.000220  diff = 0.000024

 [289] : before 0.000244 , after 0.000214  diff = 0.000031

 [290] : before 0.000244 , after 0.000229  diff = 0.000015

 [291] : before 0.000244 , after 0.000244  diff = 0.000000

 [292] : before 0.000244 , after 0.000244  diff = 0.000000

 [293] : before 0.000244 , after 0.000244  diff = 0.000000

 [294] : before 0.000244 , after 0.000229  diff = 0.000015

 [295] : before 0.000244 , after 0.000220  diff = 0.000024

 [296] : before 0.000244 , after 0.000220  diff = 0.000024

 [297] : before 0.000244 , after 0.000229  diff = 0.000015

 [298] : before 0.000244 , after 0.000220  diff = 0.000024

 [299] : before 0.000244 , after 0.000214  diff = 0.000031

 [300] : before 0.000244 , after 0.000214  diff = 0.000031

 [301] : before 0.000229 , after 0.000209  diff = 0.000020

 [302] : before 0.000229 , after 0.000220  diff = 0.000009

 [303] : before 0.000229 , after 0.000220  diff = 0.000009

 [304] : before 0.000229 , after 0.000220  diff = 0.000009

 [305] : before 0.000244 , after 0.000229  diff = 0.000015

 [306] : before 0.000229 , after 0.000229  diff = 0.000000

 [307] : before 0.000229 , after 0.000209  diff = 0.000020

 [308] : before 0.000229 , after 0.000209  diff = 0.000020

 [309] : before 0.000244 , after 0.000205  diff = 0.000039

 [310] : before 0.000244 , after 0.000220  diff = 0.000024

 [311] : before 0.000229 , after 0.000214  diff = 0.000015

 [312] : before 0.000244 , after 0.000220  diff = 0.000024

 [313] : before 0.000229 , after 0.000209  diff = 0.000020

 [314] : before 0.000244 , after 0.000214  diff = 0.000031

 [315] : before 0.000244 , after 0.000229  diff = 0.000015

 [316] : before 0.000244 , after 0.000214  diff = 0.000031

 [317] : before 0.000244 , after 0.000229  diff = 0.000015

 [318] : before 0.000244 , after 0.000220  diff = 0.000024

 [319] : before 0.000244 , after 0.000244  diff = 0.000000

 [320] : before 0.000244 , after 0.000229  diff = 0.000015

 [321] : before 0.000244 , after 0.000244  diff = 0.000000

 [322] : before 0.000244 , after 0.000244  diff = 0.000000

 [323] : before 0.000244 , after 0.000244  diff = 0.000000

 [324] : before 0.000244 , after 0.000244  diff = 0.000000

 [325] : before 0.000244 , after 0.000244  diff = 0.000000

 [326] : before 0.000244 , after 0.000244  diff = 0.000000

 [327] : before 0.000244 , after 0.000220  diff = 0.000024

 [328] : before 0.000244 , after 0.000205  diff = 0.000039

 [329] : before 0.000244 , after 0.000209  diff = 0.000035

 [330] : before 0.000244 , after 0.000229  diff = 0.000015

 [331] : before 0.000244 , after 0.000229  diff = 0.000015

 [332] : before 0.000244 , after 0.000209  diff = 0.000035

 [333] : before 0.000244 , after 0.000229  diff = 0.000015

 [334] : before 0.000244 , after 0.000220  diff = 0.000024

 [335] : before 0.000244 , after 0.000229  diff = 0.000015

 [336] : before 0.000229 , after 0.000214  diff = 0.000015

 [337] : before 0.000244 , after 0.000220  diff = 0.000024

 [338] : before 0.000244 , after 0.000214  diff = 0.000031

 [339] : before 0.000244 , after 0.000220  diff = 0.000024

 [340] : before 0.000229 , after 0.000220  diff = 0.000009

 [341] : before 0.000244 , after 0.000229  diff = 0.000015

 [342] : before 0.000244 , after 0.000220  diff = 0.000024

 [343] : before 0.000229 , after 0.000229  diff = 0.000000

 [344] : before 0.000244 , after 0.000214  diff = 0.000031

 [345] : before 0.000229 , after 0.000214  diff = 0.000015

 [346] : before 0.000244 , after 0.000229  diff = 0.000015

 [347] : before 0.000229 , after 0.000229  diff = 0.000000

 [348] : before 0.000244 , after 0.000229  diff = 0.000015

 [349] : before 0.000244 , after 0.000214  diff = 0.000031

 [350] : before 0.000244 , after 0.000229  diff = 0.000015

 [351] : before 0.000244 , after 0.000220  diff = 0.000024

 [352] : before 0.000244 , after 0.000229  diff = 0.000015

 [353] : before 0.000229 , after 0.000229  diff = 0.000000

 [354] : before 0.000244 , after 0.000229  diff = 0.000015

 [355] : before 0.000244 , after 0.000244  diff = 0.000000

 [356] : before 0.000244 , after 0.000229  diff = 0.000015

 [357] : before 0.000244 , after 0.000244  diff = 0.000000

 [358] : before 0.000244 , after 0.000244  diff = 0.000000

 [359] : before 0.000244 , after 0.000244  diff = 0.000000

 [360] : before 0.000244 , after 0.000220  diff = 0.000024

 [361] : before 0.000244 , after 0.000214  diff = 0.000031

 [362] : before 0.000229 , after 0.000229  diff = 0.000000

 [363] : before 0.000229 , after 0.000220  diff = 0.000009

 [364] : before 0.000244 , after 0.000205  diff = 0.000039

 [365] : before 0.000229 , after 0.000209  diff = 0.000020

 [366] : before 0.000244 , after 0.000244  diff = 0.000000

 [367] : before 0.000244 , after 0.000229  diff = 0.000015

 [368] : before 0.000244 , after 0.000220  diff = 0.000024

 [369] : before 0.000244 , after 0.000229  diff = 0.000015

 [370] : before 0.000244 , after 0.000209  diff = 0.000035

 [371] : before 0.000244 , after 0.000220  diff = 0.000024

 [372] : before 0.000244 , after 0.000229  diff = 0.000015

 [373] : before 0.000229 , after 0.000205  diff = 0.000024

 [374] : before 0.000244 , after 0.000244  diff = 0.000000

 [375] : before 0.000244 , after 0.000229  diff = 0.000015

 [376] : before 0.000220 , after 0.000209  diff = 0.000011

 [377] : before 0.000244 , after 0.000229  diff = 0.000015

 [378] : before 0.000244 , after 0.000220  diff = 0.000024

 [379] : before 0.000244 , after 0.000244  diff = 0.000000

 [380] : before 0.000244 , after 0.000244  diff = 0.000000

 [381] : before 0.000220 , after 0.000209  diff = 0.000011

 [382] : before 0.000244 , after 0.000229  diff = 0.000015

 [383] : before 0.000244 , after 0.000229  diff = 0.000015

 [384] : before 0.000244 , after 0.000214  diff = 0.000031

 [385] : before 0.000244 , after 0.000244  diff = 0.000000

 [386] : before 0.000244 , after 0.000229  diff = 0.000015

 [387] : before 0.000244 , after 0.000244  diff = 0.000000

 [388] : before 0.000244 , after 0.000244  diff = 0.000000

 [389] : before 0.000244 , after 0.000244  diff = 0.000000

 [390] : before 0.000244 , after 0.000244  diff = 0.000000

 [391] : before 0.000244 , after 0.000244  diff = 0.000000

 [392] : before 0.000244 , after 0.000229  diff = 0.000015

 [393] : before 0.000220 , after 0.000214  diff = 0.000006

 [394] : before 0.000220 , after 0.000214  diff = 0.000006

 [395] : before 0.000229 , after 0.000214  diff = 0.000015

 [396] : before 0.000244 , after 0.000214  diff = 0.000031

 [397] : before 0.000244 , after 0.000209  diff = 0.000035

 [398] : before 0.000244 , after 0.000220  diff = 0.000024

 [399] : before 0.000229 , after 0.000229  diff = 0.000000

 [400] : before 0.000244 , after 0.000220  diff = 0.000024

 [401] : before 0.000244 , after 0.000214  diff = 0.000031

 [402] : before 0.000244 , after 0.000214  diff = 0.000031

 [403] : before 0.000244 , after 0.000205  diff = 0.000039

 [404] : before 0.000244 , after 0.000220  diff = 0.000024

 [405] : before 0.000244 , after 0.000244  diff = 0.000000

 [406] : before 0.000244 , after 0.000205  diff = 0.000039

 [407] : before 0.000244 , after 0.000244  diff = 0.000000

 [408] : before 0.000244 , after 0.000229  diff = 0.000015

 [409] : before 0.000244 , after 0.000229  diff = 0.000015

 [410] : before 0.000244 , after 0.000214  diff = 0.000031

 [411] : before 0.000229 , after 0.000220  diff = 0.000009

 [412] : before 0.000229 , after 0.000229  diff = 0.000000

 [413] : before 0.000244 , after 0.000229  diff = 0.000015

 [414] : before 0.000229 , after 0.000209  diff = 0.000020

 [415] : before 0.000229 , after 0.000220  diff = 0.000009

 [416] : before 0.000244 , after 0.000244  diff = 0.000000

 [417] : before 0.000229 , after 0.000220  diff = 0.000009

 [418] : before 0.000244 , after 0.000229  diff = 0.000015

 [419] : before 0.000244 , after 0.000244  diff = 0.000000

 [420] : before 0.000244 , after 0.000244  diff = 0.000000

 [421] : before 0.000244 , after 0.000244  diff = 0.000000

 [422] : before 0.000244 , after 0.000244  diff = 0.000000

 [423] : before 0.000244 , after 0.000244  diff = 0.000000

 [424] : before 0.000244 , after 0.000244  diff = 0.000000

 [425] : before 0.000244 , after 0.000244  diff = 0.000000

 [426] : before 0.000244 , after 0.000244  diff = 0.000000

 [427] : before 0.000244 , after 0.000244  diff = 0.000000

 [428] : before 0.000244 , after 0.000244  diff = 0.000000

 [429] : before 0.000244 , after 0.000244  diff = 0.000000

 [430] : before 0.000244 , after 0.000244  diff = 0.000000

 [431] : before 0.000244 , after 0.000229  diff = 0.000015

 [432] : before 0.000244 , after 0.000244  diff = 0.000000

 [433] : before 0.000244 , after 0.000244  diff = 0.000000

 [434] : before 0.000244 , after 0.000244  diff = 0.000000

 [435] : before 0.000244 , after 0.000244  diff = 0.000000

 [436] : before 0.000244 , after 0.000244  diff = 0.000000

 [437] : before 0.000244 , after 0.000244  diff = 0.000000

 [438] : before 0.000244 , after 0.000244  diff = 0.000000

 [439] : before 0.000244 , after 0.000244  diff = 0.000000

 [440] : before 0.000244 , after 0.000244  diff = 0.000000

 [441] : before 0.000244 , after 0.000220  diff = 0.000024

 [442] : before 0.000244 , after 0.000229  diff = 0.000015

 [443] : before 0.000244 , after 0.000229  diff = 0.000015

 [444] : before 0.000229 , after 0.000220  diff = 0.000009

 [445] : before 0.000244 , after 0.000229  diff = 0.000015

 [446] : before 0.000244 , after 0.000229  diff = 0.000015

 [447] : before 0.000244 , after 0.000244  diff = 0.000000

 [448] : before 0.000244 , after 0.000244  diff = 0.000000

 [449] : before 0.000244 , after 0.000229  diff = 0.000015

 [450] : before 0.000244 , after 0.000220  diff = 0.000024

 [451] : before 0.000244 , after 0.000244  diff = 0.000000

 [452] : before 0.000244 , after 0.000244  diff = 0.000000

 [453] : before 0.000244 , after 0.000229  diff = 0.000015

 [454] : before 0.000244 , after 0.000229  diff = 0.000015

 [455] : before 0.000244 , after 0.000205  diff = 0.000039

 [456] : before 0.000244 , after 0.000244  diff = 0.000000

 [457] : before 0.000229 , after 0.000214  diff = 0.000015

 [458] : before 0.000229 , after 0.000209  diff = 0.000020

 [459] : before 0.000244 , after 0.000220  diff = 0.000024

 [460] : before 0.000244 , after 0.000220  diff = 0.000024

 [461] : before 0.000244 , after 0.000209  diff = 0.000035

